id,created_at,text
1258285947910750200,Thu May 07 06:42:02 +0000 2020,Ishq bohot zaroori hai zindagi ke liye, lekin ye zaroori nahi wo zindagi bhar rahe! Ishq karo toh haq se. Single ra… https://t.co/l0MpUVg1yS
1258278058793951200,Thu May 07 06:10:41 +0000 2020,@BhagatJoy Hi There, we apologize for the inconvenience caused. Please connect with us over the HELP section or ema… https://t.co/KVD7KUNuPd
1258273584721457200,Thu May 07 05:52:54 +0000 2020,To #TheHumanRace , with love. @CocaCola_Ind https://t.co/kWLXJExXBA
1258041328035754000,Wed May 06 14:30:00 +0000 2020,Listen to the awesome voice behind amazing actors like @AlwaysRamCharan and @alluarjun. Hear the Best of… https://t.co/ayPnAAbZWu
1258034790885847000,Wed May 06 14:04:01 +0000 2020,@Dheeraj16532240 We would request you to please either check the email which we have sent to you or connect over DM… https://t.co/DrBMGRvOJU
1258032232133914600,Wed May 06 13:53:51 +0000 2020,@akhil24nov Hi There, we apologize for the inconvenience caused. Please DM your gaana registered details (email or… https://t.co/icx2y3F7eE
1258031873713815600,Wed May 06 13:52:26 +0000 2020,@rupmmitr Hi, There, we apologize for the inconvenience caused. We appreciate your feedback. We will ask the team to look into issue.
1258011128015306800,Wed May 06 12:30:00 +0000 2020,Inke gaano ne sada humare dilo ko diya ‘Dard Karara.’ Listen to the legendary #KumarSanu who is one of the undisput… https://t.co/MhTme3INHX
1257980929135579100,Wed May 06 10:30:00 +0000 2020,'India Wale' ready ho jao aur 'Swag Se Swagat' karo iss rockstar ka! Listen to Vishal Dadlani's hits, here on Gaana… https://t.co/0Lbc9UR0UP
1257965829229928400,Wed May 06 09:30:00 +0000 2020,Dost kai tarah ke hote hain, magar jo dost ghar aate-jaate hain unki ek alag importance hai. Download kariye Gaana… https://t.co/vHPx8my3IF
1257958360227299300,Wed May 06 09:00:19 +0000 2020,@Im_SA29 Hi There, we apologize for the inconvenience caused. Please connect with us over the HELP section or email… https://t.co/kOujPWzsqm
