id,created_at,text
768399648499208200,Wed Aug 24 10:48:47 +0000 2016,Hello everyone, have a great Wednesday! Looking forward to reading your tweets :) &gt;&gt;🆓 Insight by https://t.co/7o2v9rP1YV
768066858285080600,Tue Aug 23 12:46:23 +0000 2016,Thanks for the recent follow @CherryMacTavish @jrector_TM Happy to connect :) have a great Tuesday. &gt;&gt; Want this 🆓? https://t.co/s8r1UoqIII
768042479287279600,Tue Aug 23 11:09:31 +0000 2016,Thanks for the recent follow @ConnectCRM1 @LynseyBerwick @marchantcain Happy to connect :) have a great Tuesday. &gt;&gt; https://t.co/40rD5CKtTi
767704465788985300,Mon Aug 22 12:46:22 +0000 2016,Thanks for the recent follow @SimonFi38739113 @gorgeousmetals Happy to connect :) have a great Monday. &gt;&gt; Get FREE? https://t.co/z3KHO8C0n3
767680139375222800,Mon Aug 22 11:09:42 +0000 2016,Thanks for the recent follow @nworldhotel @FJGmcann @JohnsonFamatta Happy to connect :) have a great Monday. (via https://t.co/pXQalSfAig)
767342102573297700,Sun Aug 21 12:46:28 +0000 2016,Thanks for the recent follow @mustafakaraja31 @ismoduRosier3 Happy to connect :) have a great Sunday. &gt;&gt; Get FREE? https://t.co/moWgK5eiPq
767317703069532200,Sun Aug 21 11:09:31 +0000 2016,Thanks for the recent follow @SportsMondiales @MediHosp @FredLMJeditor Happy to connect :) have a great Sunday. &gt;&gt; https://t.co/40rD5CKtTi
766979927287603200,Sat Aug 20 12:47:19 +0000 2016,Thanks for the recent follow @adi_duka @sallyannetucker @mikerigbyMTL Happy to connect :) have a great Saturday. &gt;&gt; https://t.co/40rD5CKtTi
766955587343044600,Sat Aug 20 11:10:36 +0000 2016,Thanks for the recent follow @AlvinKaifa @MoonGaray @killua_abd Happy to connect :) have a great Saturday. &gt;&gt; https://t.co/40rD5CKtTi
766617310039642100,Fri Aug 19 12:46:24 +0000 2016,Thanks for the recent follow @stevenbrambley @TsGrale @MarkR_SSC Happy to connect :) have a great Friday. (via https://t.co/pXQalSfAig)
766593017025208300,Fri Aug 19 11:09:52 +0000 2016,Thanks for the recent follow @RDTax4Machines @tradeandtech Happy to connect :) have a great Friday. &gt;&gt; Want this 🆓? https://t.co/FGIBwMs0qo
766254957859262500,Thu Aug 18 12:46:32 +0000 2016,Thanks for the recent follow @MyTradeTVMick @Adelaide_Eng Happy to connect :) have a great Thursday. (Insight by https://t.co/ErOi3NDAIS)
766231328069066800,Thu Aug 18 11:12:39 +0000 2016,Thanks for the recent follow @Toffeemen68 @AmandaJPhelps @MKMpLastics Happy to connect :) have a great Thursday. &gt;&gt; https://t.co/40rD5CKtTi
766227680362569700,Thu Aug 18 10:58:09 +0000 2016,Hello everyone, have a great Thursday! Looking forward to reading your tweets :) (Want this? It's FREE! https://t.co/1y3DKKGkdD)
765871241718698000,Wed Aug 17 11:21:47 +0000 2016,Thanks for the recent follow @stevenbrambley @HONEST_GOODS @TsGrale Happy to connect :) have a great Wednesday. &gt;&gt; https://t.co/40rD5CKtTi
765863113124040700,Wed Aug 17 10:49:29 +0000 2016,Hello everyone, have a great Wednesday! Looking forward to reading your tweets :) (Want this? It's FREE! https://t.co/1y3DKKGkdD)
